Gene,FPKM,Treatment
YDL126C,58.344,T68
YDR113C,0,T68
YDR326C,8.474,T68
YER019W,0,T68
YER110C,43.784,T68
YER112W,64.861,T68
YFL010C,115.037,T68
YGL160W,21.355,T68
YGR098C,0,T68
YGR192C,26699.14,T68
YHL007C,12.972,T68
YHR155W,9.922,T68
YHR179W,91.227,T68
YIL016W,228.637,T68
YIL065C,156.333,T68
YIL097W,0,T68
YJL112W,0,T68
YJL124C,211.456,T68
YJL194W,47.447,T68
YJL208C,36.951,T68
YJR009C,10026.47,T68
YJR089W,12.769,T68
YKL056C,4572.731,T68
YKR036C,0,T68
YKR071C,384.337,T68
YLL001W,16.087,T68
YLR150W,1691.132,T68
YML078W,732.97,T68
YML120C,0,T68
YMR074C,250.561,T68
YMR095C,0,T68
YNL055C,1288.093,T68
YNL098C,377.522,T68
YNL118C,25.116,T68
YNL123W,0,T68
YNL186W,15.377,T68
YNL305C,81.839,T68
YNR074C,0,T68
YOL002C,38.346,T68
YOL149W,105.12,T68
YOR043W,0,T68
YOR197W,56.323,T68
YOR297C,0,T68
YPL116W,0,T68
YPL123C,28.032,T68
YPL171C,0,T68
YPR048W,0,T68
