Gene,FPKM,Treatment
YLR150W,1514.232,tm
YML078W,552.978,tm
YML120C,39.375,tm
YMR074C,415.87,tm
YMR095C,0,tm
YNL055C,1425.282,tm
YNL098C,31.33,tm
YNL118C,20.843,tm
YNL123W,10.14,tm
YNL186W,0,tm
YNL305C,33.958,tm
YNR074C,0,tm
YOL002C,0,tm
YOL149W,87.237,tm
YOR043W,20.779,tm
YOR197W,23.371,tm
YOR297C,0,tm
YPL116W,0,tm
YPL123C,46.526,tm
YPL171C,0,tm
YPR048W,0,tm
YBL030C,917.413,tm
YBL055C,29.103,tm
YDL003W,0,tm
YDL042C,0,tm
YDL126C,58.344,tm
YDR113C,0,tm
YDR326C,8.474,tm
YER019W,0,tm
YER110C,43.784,tm
YER112W,64.861,tm
YFL010C,115.037,tm
YGL160W,21.355,tm
YGR098C,0,tm
YGR192C,26699.14,tm
YHL007C,12.972,tm
YHR155W,9.922,tm
YHR179W,91.227,tm
YIL016W,228.637,tm
YIL065C,156.333,tm
YIL097W,0,tm
YJL112W,0,tm
YJL124C,211.456,tm
YJL194W,47.447,tm
YJL208C,36.951,tm
YJR009C,10026.47,tm
YJR089W,12.769,tm
YKL056C,4572.731,tm
YKR036C,0,tm
YKR071C,384.337,tm
YLL001W,16.087,tm
YLR150W,1691.132,tm
YML078W,732.97,tm
YML120C,0,tm
YMR074C,250.561,tm
YMR095C,0,tm
YNL055C,1288.093,tm
YNL098C,377.522,tm
YNL118C,25.116,tm
YNL123W,0,tm
YNL186W,15.377,tm
YNL305C,81.839,tm
YNR074C,0,tm
YOL002C,38.346,tm
YOL149W,105.12,tm
YOR043W,0,tm
YOR197W,56.323,tm
YOR297C,0,tm
YPL116W,0,tm
YPL123C,28.032,tm
YPL171C,0,tm
YPR048W,0,tm
