Gene,FPKM,Treatment
YIL065C,68.655,tm
YIL097W,16.77,tm
YJL112W,44.621,tm
YJL124C,131.351,tm
YJL194W,6.505,tm
YJL208C,42.329,tm
YJR009C,3005.673,tm
YJR089W,23.557,tm
YKL056C,3677.834,tm
YKR036C,16.279,tm
YKR071C,176.579,tm
YLL001W,36.707,tm
YLR150W,1483.597,tm
YML078W,178.519,tm
YML120C,55.179,tm
YMR074C,300.028,tm
YMR095C,41.682,tm
YNL055C,307.283,tm
YNL098C,427.902,tm
YNL118C,48.614,tm
YNL123W,34.892,tm
YNL186W,17.722,tm
YNL305C,79.867,tm
YNR074C,157.144,tm
YOL002C,83.576,tm
YOL149W,97.581,tm
YOR043W,35.665,tm
YOR197W,104.502,tm
YOR297C,48.3,tm
YPL116W,20.418,tm
YPL123C,35.89,tm
YPL171C,1.696,tm
YPR048W,39.822,tm
YBL030C,388.487,tm
YBL055C,95.98,tm
YDL003W,95.176,tm
YDL042C,10.345,tm
YDL126C,523.993,tm
YDR113C,17.839,tm
YDR326C,10.118,tm
YER019W,26.373,tm
YER110C,49.17,tm
YER112W,169.012,tm
YFL010C,143.818,tm
YGL160W,86.698,tm
YGR098C,7.255,tm
YGR192C,13291.684,tm
YHL007C,22.078,tm
YHR155W,13.617,tm
YHR179W,416.964,tm
YIL016W,119.108,tm
YIL065C,62.38,tm
YIL097W,14.188,tm
YJL112W,44.285,tm
YJL124C,142.544,tm
YJL194W,6.598,tm
YJL208C,42.558,tm
YJR009C,2978.16,tm
YJR089W,22.04,tm
YKL056C,3739.217,tm
YKR036C,17.057,tm
YKR071C,178.919,tm
YLL001W,34.187,tm
YLR150W,1553.686,tm
YML078W,185.72,tm
YML120C,56.87,tm
YMR074C,299.182,tm
YMR095C,37.517,tm
YNL055C,311.114,tm
YNL098C,420.195,tm
YNL118C,48.554,tm
YNL123W,31.099,tm
YNL186W,19.244,tm
YNL305C,78.547,tm
YNR074C,159.019,tm
YOL002C,79.518,tm
YOL149W,96.602,tm
YOR043W,38.678,tm
YOR197W,111.179,tm
YOR297C,44.119,tm
YPL116W,20.332,tm
YPL123C,32.285,tm
YPL171C,1.93,tm
YPR048W,38.574,tm
