Gene,FPKM,Treatment
YNR074C,157.144,T55
YOL002C,83.576,T55
YOL149W,97.581,T55
YOR043W,35.665,T55
YOR197W,104.502,T55
YOR297C,48.3,T55
YPL116W,20.418,T55
YPL123C,35.89,T55
YPL171C,1.696,T55
YPR048W,39.822,T55
YBL030C,388.487,T56
YBL055C,95.98,T56
YDL003W,95.176,T56
YDL042C,10.345,T56
YDL126C,523.993,T56
YDR113C,17.839,T56
YDR326C,10.118,T56
YER019W,26.373,T56
YER110C,49.17,T56
YER112W,169.012,T56
YFL010C,143.818,T56
YGL160W,86.698,T56
YGR098C,7.255,T56
YGR192C,13291.684,T56
YHL007C,22.078,T56
YHR155W,13.617,T56
YHR179W,416.964,T56
YIL016W,119.108,T56
YIL065C,62.38,T56
YIL097W,14.188,T56
YJL112W,44.285,T56
YJL124C,142.544,T56
YJL194W,6.598,T56
YJL208C,42.558,T56
YJR009C,2978.16,T56
YJR089W,22.04,T56
YKL056C,3739.217,T56
YKR036C,17.057,T56
YKR071C,178.919,T56
YLL001W,34.187,T56
YLR150W,1553.686,T56
YML078W,185.72,T56
YML120C,56.87,T56
YMR074C,299.182,T56
YMR095C,37.517,T56
YNL055C,311.114,T56
YNL098C,420.195,T56
YNL118C,48.554,T56
YNL123W,31.099,T56
YNL186W,19.244,T56
YNL305C,78.547,T56
YNR074C,159.019,T56
YOL002C,79.518,T56
YOL149W,96.602,T56
YOR043W,38.678,T56
YOR197W,111.179,T56
YOR297C,44.119,T56
YPL116W,20.332,T56
YPL123C,32.285,T56
YPL171C,1.93,T56
YPR048W,38.574,T56
